date,open,high,low,close,volume,average,barCount
2022-12-30 12:58:24-05:00,121.32,121.33,121.31,121.33,860.0,121.324,4
2022-12-30 12:58:25-05:00,121.33,121.37,121.33,121.36,9378.0,121.359,15
2022-12-30 12:58:26-05:00,121.36,121.36,121.35,121.35,777.0,121.355,5
2022-12-30 12:58:27-05:00,121.35,121.35,121.34,121.34,400.0,121.348,4
2022-12-30 12:58:28-05:00,121.32,121.32,121.32,121.32,200.0,121.32,2
2022-12-30 12:58:29-05:00,121.33,121.33,121.32,121.33,940.0,121.329,3
2022-12-30 12:58:30-05:00,121.33,121.35,121.32,121.35,950.0,121.331,3
2022-12-30 12:58:31-05:00,121.35,121.37,121.35,121.37,200.0,121.36,2
2022-12-30 12:58:32-05:00,121.36,121.37,121.36,121.36,100.0,121.363,1
2022-12-30 12:58:33-05:00,121.35,121.36,121.35,121.35,425.0,121.353,1
2022-12-30 12:58:34-05:00,121.37,121.39,121.37,121.39,1321.0,121.376,12
2022-12-30 12:58:35-05:00,121.39,121.39,121.36,121.36,4782.0,121.376,8
2022-12-30 12:58:36-05:00,121.36,121.36,121.35,121.36,600.0,121.358,4
2022-12-30 12:58:37-05:00,121.35,121.37,121.35,121.37,500.0,121.358,3
2022-12-30 12:58:38-05:00,121.36,121.36,121.34,121.35,785.0,121.354,7
2022-12-30 12:58:39-05:00,121.35,121.36,121.35,121.35,1831.0,121.35,2
2022-12-30 12:58:40-05:00,121.35,121.36,121.34,121.34,265.0,121.351,2
2022-12-30 12:58:41-05:00,121.34,121.35,121.32,121.32,4550.0,121.325,9
2022-12-30 12:58:42-05:00,121.33,121.33,121.3,121.31,2746.0,121.316,9
2022-12-30 12:58:43-05:00,121.31,121.32,121.3,121.32,1400.0,121.311,11
2022-12-30 12:58:44-05:00,121.32,121.32,121.31,121.32,723.0,121.316,5
2022-12-30 12:58:45-05:00,121.33,121.33,121.29,121.3,5822.0,121.312,15
2022-12-30 12:58:46-05:00,121.34,121.34,121.27,121.27,4161.0,121.302,13
2022-12-30 12:58:47-05:00,121.27,121.29,121.27,121.28,4000.0,121.278,7
2022-12-30 12:58:48-05:00,121.27,121.28,121.27,121.28,3050.0,121.274,7
2022-12-30 12:58:49-05:00,121.28,121.33,121.28,121.32,2157.0,121.309,9
2022-12-30 12:58:50-05:00,121.33,121.33,121.31,121.31,1532.0,121.325,6
2022-12-30 12:58:51-05:00,121.31,121.32,121.31,121.31,1340.0,121.312,6
2022-12-30 12:58:52-05:00,121.33,121.33,121.31,121.31,549.0,121.321,5
2022-12-30 12:58:53-05:00,121.32,121.33,121.3,121.31,2172.0,121.321,11
2022-12-30 12:58:54-05:00,121.31,121.31,121.28,121.28,2021.0,121.29,9
2022-12-30 12:58:55-05:00,121.29,121.3,121.29,121.3,400.0,121.294,2
2022-12-30 12:58:56-05:00,121.3,121.31,121.29,121.3,1350.0,121.3,7
2022-12-30 12:58:57-05:00,121.31,121.31,121.31,121.31,400.0,121.31,1
2022-12-30 12:58:58-05:00,121.3,121.33,121.3,121.33,1000.0,121.307,5
2022-12-30 12:58:59-05:00,121.32,121.33,121.32,121.33,989.0,121.324,3
2022-12-30 12:59:00-05:00,121.33,121.36,121.33,121.35,1010.0,121.342,9
2022-12-30 12:59:01-05:00,121.33,121.34,121.3,121.32,1600.0,121.327,7
2022-12-30 12:59:02-05:00,121.33,121.35,121.33,121.34,1029.0,121.336,5
2022-12-30 12:59:03-05:00,121.31,121.32,121.3,121.32,3355.0,121.307,16
2022-12-30 12:59:04-05:00,121.32,121.32,121.31,121.31,3086.0,121.315,10
2022-12-30 12:59:05-05:00,121.31,121.31,121.3,121.31,1197.0,121.31,1
2022-12-30 12:59:06-05:00,121.31,121.32,121.3,121.31,3726.0,121.31,10
2022-12-30 12:59:07-05:00,121.3,121.3,121.27,121.27,2446.0,121.283,12
2022-12-30 12:59:08-05:00,121.27,121.3,121.27,121.29,829.0,121.285,5
2022-12-30 12:59:09-05:00,121.29,121.29,121.27,121.28,2695.0,121.277,13
2022-12-30 12:59:10-05:00,121.28,121.3,121.28,121.3,1995.0,121.294,15
2022-12-30 12:59:11-05:00,121.29,121.29,121.29,121.29,500.0,121.29,1
2022-12-30 12:59:12-05:00,121.29,121.29,121.29,121.29,100.0,121.29,1
2022-12-30 12:59:13-05:00,121.28,121.29,121.28,121.28,1227.0,121.283,6
2022-12-30 12:59:14-05:00,121.28,121.29,121.27,121.28,3396.0,121.272,17
2022-12-30 12:59:15-05:00,121.28,121.29,121.28,121.29,1100.0,121.284,2
2022-12-30 12:59:16-05:00,121.28,121.28,121.27,121.27,6109.0,121.279,8
2022-12-30 12:59:17-05:00,121.27,121.28,121.27,121.28,1050.0,121.274,3
2022-12-30 12:59:18-05:00,121.28,121.29,121.28,121.28,3456.0,121.281,10
2022-12-30 12:59:19-05:00,121.29,121.29,121.28,121.28,1150.0,121.285,5
2022-12-30 12:59:20-05:00,121.29,121.3,121.29,121.3,800.0,121.296,8
2022-12-30 12:59:21-05:00,121.3,121.3,121.28,121.29,6002.0,121.284,7
2022-12-30 12:59:22-05:00,121.29,121.29,121.26,121.27,5296.0,121.276,21
2022-12-30 12:59:23-05:00,121.28,121.29,121.28,121.29,703.0,121.287,5
2022-12-30 12:59:24-05:00,121.29,121.32,121.27,121.32,4025.0,121.292,9
2022-12-30 12:59:25-05:00,121.33,121.34,121.32,121.33,1990.0,121.325,6
2022-12-30 12:59:26-05:00,121.32,121.34,121.32,121.32,5000.0,121.332,7
2022-12-30 12:59:27-05:00,121.31,121.33,121.31,121.32,2976.0,121.319,12
2022-12-30 12:59:28-05:00,121.31,121.32,121.3,121.31,1500.0,121.308,7
2022-12-30 12:59:29-05:00,121.3,121.31,121.3,121.31,4113.0,121.305,2
2022-12-30 12:59:30-05:00,121.31,121.31,121.3,121.31,400.0,121.305,2
2022-12-30 12:59:31-05:00,121.31,121.31,121.3,121.3,1325.0,121.308,8
2022-12-30 12:59:32-05:00,121.3,121.31,121.29,121.31,1400.0,121.301,6
2022-12-30 12:59:33-05:00,121.32,121.35,121.32,121.34,6507.0,121.342,16
2022-12-30 12:59:34-05:00,121.35,121.36,121.34,121.35,5233.0,121.353,21
